,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
378,2018 Toyota RAV4 XLE,25000,65173, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,20746,0,0
379,2021 Hyundai Palisade Calligraphy,50500,10990, Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic with SHIFTRONIC,V6 Cylinder Engine,75604,1,1
380,2018 Tesla Model 3 Long Range,53998,11705, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,80221,1,1
381,2020 Chrysler Pacifica Hybrid Limited,40500,36000, Front-wheel Drive ,0–0,Plug-In Electric/Gas ,A/T,260.0HP 3.6L V6 Cylinder Engine Plug-In Electric/Gas,0,3,3
382,2018 Mercedes-Benz S-Class S 560 4MATIC,76775,33936, All-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,08817,0,0
383,2011 Honda CR-V EX-L,12995,84494, Front-wheel Drive ,21–28,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC,22408,3,3
384,2019 Nissan Pathfinder SV,28490,31950, Four-wheel Drive ,19–26,Gasoline ,Automatic CVT,3.5L V6 24V GDI DOHC,44221,1,1
385,2020 Toyota Sequoia SR5,51995,25024, Rear-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,34788,3,3
386,2021 Toyota Highlander XSE,44854,29134, Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,31525,1,1
387,2021 Hyundai Elantra SEL,21998,16811, Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,32809,1,1
388,2020 Mitsubishi Outlander SE,19989,50490, Front-wheel Drive ,25–30,Gasoline ,Automatic CVT,2.4L I4 16V MPFI SOHC,43228,3,3
389,2020 Mazda CX-5 Touring,24369,45420, All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,60173,1,0
390,2017 Chevrolet Tahoe Premier,29900,121808, Rear-wheel Drive ,16–23,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,77090,0,0
391,2016 Chevrolet Silverado 1500 High Country,40500,38450, Four-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,5.3L V8 16V GDI OHV,50208,3,3
392,2019 Land Rover Range Rover 3.0L V6 Supercharged HSE,64995,52692, Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,07405,1,1
393,2020 Lexus GX 460 Base,56998,13804, Four-wheel Drive ,15–19,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,70817,1,1
394,2015 BMW 328 i,14795,118689, Rear-wheel Drive ,None,Gasoline ,Automatic,2.0L I4 16V GDI DOHC Turbo,95129,0,0
395,2019 Mercedes-Benz E-Class E 300,43498,19296, All-wheel Drive ,21–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,03103,1,1
396,2019 Toyota 4Runner Limited,44600,26433, Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,76049,0,1
397,2019 Honda Civic LX,23761,29951, Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,08234,1,1
398,2016 Lexus ES 350 Base,26990,70225, Front-wheel Drive ,21–31,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,75093,0,1
399,2018 Jeep Compass Latitude,24585,46188, Four-wheel Drive ,22–31,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,80501,0,1
400,2019 Lexus RX 350L L,40998,44283, Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,92860,3,3
401,2019 Honda Accord Sport,23847,37681, Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,11542,3,3
402,2019 BMW X1 sDrive28i,29589,17481, Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,90755,0,1
403,2018 BMW 430 Gran Coupe i xDrive,27990,25238, All-wheel Drive ,23–33,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,11021,0,0
404,2017 Jeep Wrangler Unlimited Sahara,33995,64163, Four-wheel Drive ,16–21,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC,11801,3,3
405,2018 RAM 2500 Laramie,63472,22184, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.7L I6 24V DDI OHV Turbo Diesel,50322,1,1
406,2020 Cadillac XT6 Premium Luxury AWD,52900,4904, All-wheel Drive ,17–24,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC,98032,0,0
407,2020 Toyota Prius LE,28900,51922, Front-wheel Drive ,54–50,Hybrid ,Automatic CVT,1.8L I4 16V MPFI DOHC Hybrid,92806,1,0
408,2021 Toyota 4Runner Limited,49990,13736, Four-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,60107,1,0
409,2019 Toyota Tacoma SR5,31518,22380, Rear-wheel Drive ,20–23,Gasoline ,6-Speed Automatic,2.7L I4 16V MPFI DOHC,33812,0,1
410,2018 GMC Sierra 1500 SLT,40995,62078, Four-wheel Drive ,16–22,Gasoline ,Automatic,5.3L V8 16V GDI OHV,62263,0,1
411,2019 Honda Odyssey ,35888,35265, Front-wheel Drive ,19–28,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,91801,1,1
412,2022 Porsche 911 Turbo S,301301,2825, All-wheel Drive ,15–20,Gasoline ,8-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,07044,1,1
413,2017 Chevrolet Silverado 2500 LTZ,48901,82445, Four-wheel Drive ,None,Diesel ,6-Speed Automatic,6.6L V8 32V DDI OHV Turbo Diesel,76051,0,1
414,2019 Chevrolet Trax LT,19995,42065, All-wheel Drive ,24–29,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,44857,1,1
415,2019 GMC Yukon SLT Standard Edition,48000,46069, Four-wheel Drive ,15–21,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,48357,1,1
416,2019 Land Rover Range Rover Velar P250 SE R-Dynamic,51999,12567, Four-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,11735,1,1
417,2020 Ford F-150 XLT,42000,19010, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,2.7L V6 24V PDI DOHC Twin Turbo,72076,1,0
418,2018 Audi A5 2.0T Premium Plus,40995,28518, All-wheel Drive ,24–34,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,60126,0,0
419,2018 GMC Yukon Denali,50698,59349, Four-wheel Drive ,14–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,76017,0,0
420,2019 Cadillac XT5 Luxury,26500,40832, Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC,43228,0,0
421,2020 INFINITI QX80 Luxe,39977,68023, Rear-wheel Drive ,14–20,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,29501,1,0
422,2001 Toyota MR2 Spyder,15400,64181, Rear-wheel Drive ,25–30,Gasoline ,5-Speed Manual,1.8L I4 16V MPFI DOHC,85323,0,1
423,2015 Honda Civic LX,12791,62966, Front-wheel Drive ,30–39,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC,97266,3,3
424,2016 Toyota Tundra SR5,41976,46138, 4WD ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,95630,0,1
425,2018 Mercedes-Benz GLE 350 Base,35999,32693, Rear-wheel Drive ,18–23,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,32822,0,1
426,2009 Acura MDX Base,8988,159645, All-wheel Drive ,15–0,Gasoline ,5-SPEED A/T,V6 Cylinder Engine,53593,0,1
427,2017 Jeep Wrangler Unlimited Sahara,33788,68902, Four-wheel Drive ,16–21,Gasoline ,5-Speed Automatic,3.6L V6 24V MPFI DOHC,28625,0,1
428,2021 Mercedes-Benz GLE 350 Base,58000,19852, Rear-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,76014,3,3
429,2021 GMC Sierra 1500 Denali,57995,13754, Four-wheel Drive ,16–22,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV,62234,1,1
430,2020 GMC Yukon SLT,38990,79395, Four-wheel Drive ,15–21,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV,30144,0,0
431,2020 Lincoln Nautilus Reserve,43355,30430, All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55313,1,0
432,2018 Lexus RX 350 ,38970,25520, All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V GDI DOHC,53224,3,3
433,2009 Honda CR-V EX,12385,82041, Four-wheel Drive ,20–26,Gasoline ,5-Speed Automatic,2.4L I4 16V MPFI DOHC,21074,0,1
434,2021 Nissan GT-R Premium,138999,13488, All-wheel Drive ,16–22,Gasoline ,6-Speed Automatic with Auto-Shift,3.8L V6 24V MPFI DOHC Twin Turbo,32809,0,1
435,2019 Jeep Cherokee Limited,30495,33585, Four-wheel Drive ,19–27,Gasoline ,9-Speed Automatic,3.2L V6 24V MPFI DOHC,57301,1,1
436,2018 Lexus GX 460 Base,37949,52847, Four-wheel Drive ,15–18,Gasoline ,6-Speed Automatic,4.6L V8 32V MPFI DOHC,19342,0,1
437,2018 Toyota RAV4 XLE,24799,67364, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,76051,0,0
438,2019 Chevrolet Trax LT,19583,46901, Front-wheel Drive ,26–31,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,44129,3,3
439,2021 Lexus RX 350 F SPORT Appearance,55398,19272, All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,11735,1,1
440,2019 Jeep Grand Cherokee Altitude,30500,35095, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,10463,1,1
441,2016 Jeep Patriot Sport,9600,67521, Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.0L I4 16V MPFI DOHC,75040,3,3
442,2022 Acura MDX A-Spec,62998,1535, AWD ,19–25,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC,22192,3,3
443,2018 BMW M5 Base,77983,22250, All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,60004,0,0
444,2011 Ford F-150 XLT,8995,213064, Four-wheel Drive ,14–19,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,48616,0,0
445,2019 Chevrolet Trax LT,21000,16983, All-wheel Drive ,24–29,Gasoline ,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,20904,1,1
446,2021 Volkswagen Passat 2.0T R-Line,28688,33586, Front-wheel Drive ,24–36,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,85251,1,0
447,2011 Jeep Wrangler Rubicon,24581,81858, Four-wheel Drive ,15–19,Gasoline ,5-Speed Manual,3.8L V6 12V MPFI OHV,38501,0,1
448,2017 Ford F-150 XLT,34951,33962, Four-wheel Drive ,15–21,E85 Flex Fuel ,6-Speed Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,54401,0,1
449,2020 Alfa Romeo Giulia Base,34499,25884, All-wheel Drive ,23–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo,32809,1,1
450,2014 Toyota FJ Cruiser Base,40392,53971, Four-wheel Drive ,17–20,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,28806,0,1
451,2019 Jeep Grand Cherokee Limited,35950,37435, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,01501,0,0
452,2019 Toyota Corolla SE,19750,28166, Front-wheel Drive ,28–35,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC,23502,1,1
453,2016 Nissan Rogue SL,22900,46612, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V MPFI DOHC,75069,0,1
454,2020 Mercedes-Benz S-Class S 560 4MATIC,108304,8221, All-wheel Drive ,17–26,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,07044,1,0
455,2016 Tesla Model S ,51850,55939, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,60202,1,1
456,2021 BMW X5 xDrive40i,64998,18415, All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,19406,3,3
457,2019 Buick Envision Essence,28788,23133, All-wheel Drive ,21–27,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC,15012,3,3
458,2020 Lincoln Aviator Reserve AWD,55788,14314, All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,45238,3,3
459,2017 Chevrolet Corvette Grand Sport,60499,49872, Rear-wheel Drive ,16–25,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,76028,3,3
460,2016 BMW 328 i,23998,50696, Rear-wheel Drive ,23–35,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,33055,0,1
461,2021 Chevrolet Corvette Stingray w/2LT,92999,3597, Rear-wheel Drive ,15–27,Gasoline ,8-Speed Automatic with Auto-Shift,6.2L V8 16V GDI OHV,60487,3,3
462,2021 Chevrolet Traverse LT Cloth,38775,44950, All-wheel Drive ,17–25,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC,75234,1,0
463,2019 Jeep Wrangler Unlimited Sport,39598,22864, Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,08833,1,1
464,2019 Audi Q7 55 Premium Plus,51995,14481, All-wheel Drive ,19–25,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,10547,1,1
465,2011 INFINITI G37 Base,19700,52097, Rear-wheel Drive ,17–25,Gasoline ,7-Speed Automatic,3.7L V6 24V MPFI DOHC,21228,0,1
466,2020 BMW X2 sDrive28i,35995,13200, Front-wheel Drive ,24–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,30076,1,1
467,2021 Honda Accord Hybrid Touring,38500,35600, Front-wheel Drive ,44–41,Gas/Electric Hybrid ,A/T,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,0,3,3
468,2021 Honda Passport Touring,40822,10203, All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,14623,0,1
469,2022 Honda Pilot Special Edition,44546,9049, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,63123,1,0
470,2021 Audi R8 5.2 V10,183500,3535, Rear-wheel Drive ,14–23,Gasoline ,7-Speed Automatic with Auto-Shift,5.2L V10 40V PDI DOHC,32771,1,1
471,2022 Genesis GV70 3.5T Sport,59999,1887, All-wheel Drive ,19–25,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,06460,3,3
472,2020 Lincoln Aviator Reserve AWD,57500,29761, All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,48124,1,1
473,2018 Hyundai Tucson SEL,20504,49215, All-wheel Drive ,21–26,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC,60436,0,1
474,2020 Acura TLX FWD,26300,29271, Front-wheel Drive ,23–33,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC,08857,3,3
475,2014 Mitsubishi Lancer Evolution GSR,31989,97305, All-wheel Drive ,17–23,Gasoline ,5-Speed Manual,2.0L I4 16V MPFI DOHC Turbo,98409,0,1
476,2018 Mitsubishi Outlander Sport SE,14777,56733, Front-wheel Drive ,23–29,Gasoline ,Automatic CVT,2.4L I4 16V MPFI DOHC,44110,3,3
477,2020 Lexus RX 350 Base,48627,16281, Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,30080,1,1
478,2020 Toyota Highlander XLE,35898,37785, Front-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC,32809,1,0
479,2019 Honda CR-V EX,28750,44955, All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,18049,1,1
480,2013 BMW 550 i xDrive,17990,52299, All-wheel Drive ,16–24,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,11021,0,0
481,2018 BMW X5 xDrive35i,37970,45249, All-wheel Drive ,18–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,07643,0,1
482,2019 Dodge Durango R/T,41500,32149, All-wheel Drive ,14–22,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,07728,1,1
483,2020 BMW X3 PHEV xDrive30e,47900,37290, All-wheel Drive ,0–0,Plug-In Electric/Gas ,Transmission w/Dual Shift Mode,288.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,0,3,3
484,2018 Chevrolet Corvette Grand Sport,63591,16530, Rear-wheel Drive ,16–25,Gasoline ,7-Speed Manual,6.2L V8 16V GDI OHV,12205,0,1
485,2019 Jeep Grand Cherokee Limited,36985,33628, Four-wheel Drive ,18–25,Gasoline ,8-Speed Shiftable Automatic,6 Cylinder,01952,3,3
486,2020 Toyota Sequoia SR5,50000,21941, Rear-wheel Drive ,13–17,Gasoline ,6-Speed Automatic,5.7L V8 32V MPFI DOHC,32114,3,3
487,2019 Audi A4 2.0T Premium Plus,34588,17660, Front-wheel Drive ,27–34,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,90650,1,1
488,2017 Ford F-250 XL,42372,13639, Four-wheel Drive ,None,E85 Flex Fuel ,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,52060,3,3
489,2018 Dodge Durango GT,27483,35893, All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,11580,1,1
490,2017 Audi Q3 2.0T Premium,22998,35204, Front-wheel Drive ,20–28,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,32809,0,1
491,2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,70900,20942, Four-wheel Drive ,19–24,Gasoline ,Automatic,V6,30096,1,0
492,2019 Jeep Grand Cherokee Altitude,41990,32091, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV,76210,1,1
493,2018 Ford Explorer XLT,27200,58495, Front-wheel Drive ,17–24,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,46123,0,0
494,2017 Hyundai Santa Fe SE,17996,89708, Front-wheel Drive ,18–25,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC,30062,3,3
495,2019 Honda Civic LX,24535,16832, Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,08750,3,3
496,2019 Subaru Outback 2.5i Limited,29998,60518, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,93036,3,3
497,2021 Tesla Model Y Performance,72153,9758, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,60074,1,1
498,2016 Chevrolet Corvette Stingray Z51,55313,21420, Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,53115,3,3
499,2020 Nissan Altima 2.5 SR,15900,85000, Front-wheel Drive ,27–37,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC,32805,3,3
500,2020 Land Rover Range Rover Sport 3.0L Supercharged HSE,66990,42759, Four-wheel Drive ,19–24,Gasoline ,Automatic,V6,30060,3,3
501,2019 BMW M5 Competition,73888,33284, All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,07405,1,1
502,2009 Honda Civic LX,8495,117036, Front-wheel Drive ,25–40,Gasoline ,Automatic,4 Cylinder Engine,18052,0,1
503,2018 INFINITI Q50 3.0t Red Sport 400,33200,45128, All-wheel Drive ,19–26,Gasoline ,Automatic,V6 Cylinder Engine,07205,1,1
504,2017 Subaru Forester 2.5i Premium,22277,56438, All-wheel Drive ,22–28,Gasoline ,6-Speed Manual,2.5L H4 16V MPFI DOHC,49418,0,0
505,1996 Chevrolet Corvette ,11976,61700, – ,None,Gasoline ,4-Speed Automatic,5.7L V8 16V MPFI OHV,45690,3,3
506,2019 Honda HR-V EX,23500,15781, All-wheel Drive ,26–31,Gasoline ,Automatic CVT,1.8L I4 16V MPFI SOHC,11542,3,3
507,2020 Mitsubishi Eclipse Cross ES,20995,40560, Four-wheel Drive ,25–28,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,75090,1,0
508,2020 Audi Q5 45 Premium Plus,46070,20832, All-wheel Drive ,22–28,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,80525,1,0
509,2018 Tesla Model 3 Long Range,46991,31805, Rear-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,20166,1,1
510,2021 Lexus IS 300 Base,39999,8265, Rear-wheel Drive ,21–31,Gasoline ,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,33156,1,1
511,2021 Tesla Model Y Performance,72500,8016, All-wheel Drive ,None,Electric ,1-Speed Automatic,Electric,60453,0,1
512,2019 Lamborghini Urus Base,244996,42525, All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,28203,1,1
513,2019 Audi S5 3.0T Prestige,46999,24825, All-wheel Drive ,21–30,Gasoline ,Automatic,Intercooled Turbo Premium Unleaded V-6 3.0 L/183,11701,1,1
514,2018 Lincoln MKC Reserve,28962,46240, All-wheel Drive ,19–25,Gasoline ,6-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,61738,3,3
515,2017 Honda Accord EX-L,24677,39028, Front-wheel Drive ,27–36,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC,60546,0,1
516,2020 Chevrolet Tahoe Premier,65500,33930, Four-wheel Drive ,15–21,Gasoline ,Automatic,6.2L V8 16V GDI OHV,32114,3,3
517,2020 Lincoln Aviator Reserve AWD,52347,33770, All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,22304,1,1
518,2020 Mercedes-Benz GLE 350 Base 4MATIC,48995,24326, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,11021,1,1
519,2016 Honda Civic EX,23923,33335, Front-wheel Drive ,31–41,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC,98134,0,1
520,2019 BMW 430 Gran Coupe i,31995,29546, RWD ,24–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,90505,3,3
521,2016 Audi A7 3.0T Premium Plus,34500,44905, All-wheel Drive ,20–30,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,98225,3,3
522,2014 Chevrolet Suburban 1500 LTZ,24899,127732, Four-wheel Drive ,15–21,E85 Flex Fuel ,6-SPEED A/T,8 Cylinder Engine,60548,3,3
523,2019 Audi Q5 2.0T Premium,37998,16569, All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,75041,3,3
524,2015 Ford F-150 Lariat,24900,150576, Four-wheel Drive ,None,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,75069,0,1
525,2018 Toyota RAV4 XLE,28276,46896, All-wheel Drive ,22–28,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC,08753,0,1
526,2020 Audi Q5 45 Premium Plus,45998,15723, All-wheel Drive ,22–28,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,37204,3,3
527,2015 Honda CR-V LX,19999,66848, Front-wheel Drive ,27–34,Gasoline ,Automatic CVT,2.4L I4 16V GDI DOHC,32809,1,1
528,2021 Honda Pilot EX-L,30800,24891, Front-wheel Drive ,20–27,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC,75116,3,3
529,2021 Chevrolet Equinox Premier,35477,16271, All-wheel Drive ,25–30,Gasoline ,6-Speed Automatic,1.5L I4 16V GDI DOHC Turbo,01756,0,1
530,2021 Honda Accord EX-L,33998,37362, Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,28590,3,3
531,2020 BMW X3 sDrive30i,37945,32803, Rear-wheel Drive ,25–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,78501,1,1
532,2019 Jeep Grand Cherokee Limited,39995,29448, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,03053,1,1
533,2021 Toyota 4Runner Limited,51723,16166, Four-wheel Drive ,16–19,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC,86404,1,1
534,2020 Audi Q5 45 Premium,37314,21151, All-wheel Drive ,22–28,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,60462,3,3
535,2020 Mercedes-Benz GLC 300 Base 4MATIC,44993,17734, All-wheel Drive ,21–28,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,60642,0,1
536,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,63175,39979, All-wheel Drive ,17–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,32609,0,1
537,2021 BMW X6 M50i,87119,18158, All-wheel Drive ,16–22,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,60467,3,3
538,2022 RAM 1500 Laramie,51707,16050, Rear-wheel Drive ,None,Gasoline ,Automatic,5.7L V8 16V MPFI OHV,75244,0,0
539,2020 Mercedes-Benz GLE 350 Base 4MATIC,57900,19262, All-wheel Drive ,19–26,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,07728,3,3
540,2017 Mercedes-Benz AMG C 43 Base 4MATIC,37999,33998, All-wheel Drive ,20–28,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,32822,0,1
541,2020 Subaru Forester Premium,31995,24985, All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC,54401,3,3
542,2013 Mercedes-Benz E-Class E 350,15788,40690, Rear-wheel Drive ,20–30,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC,92870,0,1
543,2016 Toyota Avalon Limited,29986,19072, Front-wheel Drive ,21–30,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,29414,0,1
544,2018 Ford Explorer XLT,28995,56758, Front-wheel Drive ,17–24,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC,75150,0,1
545,2020 BMW M340 i,48874,27854, Rear-wheel Drive ,22–30,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,85226,1,1
