,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
298,2,2019 Honda CR-V EX-L,37500,17189, Dark Olive Metallic , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
299,3,2021 BMW X7 xDrive40i,75987,12497, Blue Metallic , Ivory White , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
300,4,2019 GMC Yukon Denali,60890,49558, White Frost , Jet Black , Four-wheel Drive ,14–22,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV
301,5,2019 Mercedes-Benz GLC 300 Base,29898,54363, Black , Black , Rear-wheel Drive ,22–27,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
302,6,2019 Porsche Cayenne S,75594,49676, Black , Black , All-wheel Drive ,18–23,Gasoline ,8-Speed Automatic,2.9L V6 24V GDI DOHC Twin Turbo
303,7,2019 BMW 750 i xDrive,64594,12601, Mineral White Metallic , Black , All-wheel Drive ,17–25,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
304,8,2019 BMW X5 xDrive40i,42777,68762, Jet Black , Amarone , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
305,9,2018 Mercedes-Benz S-Class S 560 4MATIC,72995,19623, designo Diamond White Metallic , Silk Beige / Espresso Brown , All-wheel Drive ,17–27,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
306,10,2019 BMW M240 i xDrive,47734,10719, Black Sapphire Metallic , Black , All-wheel Drive ,21–30,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
307,11,2016 Mercedes-Benz AMG GT AMG GT S,99999,16217, Designo , – , Rear-wheel Drive ,16–22,Gasoline ,7-Speed Automatic with Auto-Shift,4.0L V8 32V MPFI DOHC Twin Turbo
308,12,2019 Maserati Ghibli S Q4 GranSport,57895,15704, Nero , Nero , All-wheel Drive ,16–24,Gasoline ,8-Speed Automatic,3.0L V6
309,13,2020 Mercedes-Benz GLC 300 Base,47771,16430, Black , Black , Rear-wheel Drive ,22–29,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
310,14,2020 BMW X5 xDrive40i,53990,31882, Black Sapphire Metallic , Ivory White , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
311,15,2004 Nissan Pathfinder LE Platinum,3988,202374, Canteen Metallic , Tan , Four-wheel Drive ,15–19,Gasoline ,4-Speed Automatic,3.5L V6 24V MPFI DOHC
312,16,2021 Audi A6 45 Sport Premium,51999,11281, Mythos Black Metallic , Black , All-wheel Drive ,23–31,Gasoline ,7-Speed Automatic,I4
313,17,2020 Tesla Model Y Long Range,68888,11382, White , Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
314,18,2016 Ford Explorer Sport,27500,77106, Ruby Red Metallic , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
315,19,2018 Lexus ES 350 Base,31000,26770, Eminent White Pearl , Parchment , Front-wheel Drive ,21–30,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
316,0,2004 Nissan Pathfinder LE Platinum,3988,202374, Canteen Metallic , Tan , Four-wheel Drive ,15–19,Gasoline ,4-Speed Automatic,3.5L V6 24V MPFI DOHC
317,1,2021 Audi A6 45 Sport Premium,51999,11281, Mythos Black Metallic , Black , All-wheel Drive ,23–31,Gasoline ,7-Speed Automatic,I4
318,2,2020 Tesla Model Y Long Range,68888,11382, White , Black , All-wheel Drive ,127–114,Electric ,1-Speed Automatic,Electric
319,3,2016 Ford Explorer Sport,27500,77106, Ruby Red Metallic , Ebony Black , Four-wheel Drive ,16–22,Gasoline ,6-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
320,4,2018 Lexus ES 350 Base,31000,26770, Eminent White Pearl , Parchment , Front-wheel Drive ,21–30,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI DOHC
321,5,2019 Dodge Durango GT,37590,14515, Granite Clearcoat Metallic , Black , All-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
322,6,2019 BMW M550 i Xdrive,45395,38336, Black , Black , All-wheel Drive ,18–25,Gasoline ,sport automatic,8 Cylinder Engine
323,7,2020 Subaru Forester Premium,31998,44259, Crystal Black Silica , Gray , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
324,8,2016 Audi A7 3.0T Premium Plus,33995,63044, White , Black , All-wheel Drive ,20–30,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged
325,9,2021 Honda Passport EX-L,38666,17862, Crystal Black Pearl , Black , All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
326,10,2020 RAM 1500 Laramie,52000,17100, Maximum Steel Metallic , Black , Four-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
327,11,2014 BMW 528 i xDrive,21000,68715, Alpine White , Black , All-wheel Drive ,22–33,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
328,12,2022 Ford F-350 Platinum,98988,16050, Carbonized Gray Metallic , Black Onyx , Four-wheel Drive ,None,Diesel ,10-Speed Automatic,6.7L V8 32V DDI OHV Turbo Diesel
329,13,2019 BMW 330 i xDrive,39206,39669, Jet Black , Black , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
330,14,2020 BMW X5 xDrive40i,61672,13568, Jet Black , Black , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
331,15,2012 Mercedes-Benz S-Class S 550 4MATIC,25695,59725, Metallic , Ash / Grey , All-wheel Drive ,15–24,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
332,16,2021 Hyundai Palisade Limited,44422,18521, Becketts Black , Beige , Front-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
333,17,2021 GMC Yukon XL SLT,75615,19779, Gray , Dark Walnut , Four-wheel Drive ,15–19,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV
334,18,2019 Volvo XC60 T5 Inscription,42968,34148, Onyx Black , Blond , Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
335,19,2019 Alfa Romeo Stelvio Ti,38490,12387, Brown , Black , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
336,0,2019 Alfa Romeo Stelvio Ti,38490,12387, Brown , Black , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
337,1,2021 Mazda CX-9 Carbon Edition,41990,11309, Polymetal Gray Metallic , Red , All-wheel Drive ,20–26,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC Turbo
338,2,2019 BMW X5 xDrive40i,47696,46646, Gray , Black , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
339,3,2021 Mercedes-Benz C-Class C 300 4MATIC,43625,9787, Lunar Blue Metallic , Silk Beige , All-wheel Drive ,23–33,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
340,4,2021 Kia Telluride SX,54500,5693, Dark Moss , Gray , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
341,5,2016 Tesla Model X 90D,49500,133200, Blue , Beige , All-wheel Drive ,0–0,Electric Fuel System ,1-Speed A/T,417.0HP Electric Motor Electric Fuel System
342,6,2020 Acura TLX V6 w/Technology Package,35888,24989, Majestic Black Pearl , Ebony , Front-wheel Drive ,20–31,Gasoline ,9-Speed Automatic,3.5L V6 24V GDI SOHC
343,7,2020 Mercedes-Benz GLA 250 Base 4MATIC,33808,13772, Midnight Black , Shara Beige , All-wheel Drive ,22–30,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
344,8,2021 Buick Envision Essence,42521,19498, Ebony Twilight Metallic , Ebony , Front-wheel Drive ,24–31,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
345,9,2019 Alfa Romeo Stelvio Ti,37888,19246, Vulcano Black Metallic , Black , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
346,10,2019 Mazda CX-5 Grand Touring,30995,14192, Jet Black Mica , Black , All-wheel Drive ,24–30,Gasoline ,6-Speed Automatic,2.5L I4 16V GDI DOHC
347,11,2015 Mercedes-Benz GLK-Class GLK 350,19496,97371, Polar White , Black , Rear-wheel Drive ,19–25,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
348,12,2021 BMW X7 xDrive40i,77000,17774, Mineral White Metallic , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
349,13,2021 Chevrolet Tahoe Z71,69540,20827, Satin Steel Metallic , Jet Black , Four-wheel Drive ,16–20,Gasoline ,10-Speed Automatic,5.3L V8 16V GDI OHV
350,14,2021 Alfa Romeo Stelvio Ti Sport,48288,11588, Stromboli Gray Metallic , Black , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
351,15,2021 BMW X7 xDrive40i,74998,20653, Black Sapphire Metallic , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
352,16,2016 Chevrolet Silverado 2500 LT,44948,19520, Black , Black , Four-wheel Drive ,None,Gasoline ,6-Speed Automatic,VORTEC
353,17,2017 BMW X5 M Base,58650,49607, Gray , Mugello Red , All-wheel Drive ,14–19,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
354,18,2019 BMW 330 i xDrive,35880,31620, Mineral Gray Metallic , Black , All-wheel Drive ,25–34,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
355,19,2018 Volkswagen Atlas 3.6L SEL,35125,47315, Deep Black Pearl Effect , Titan Black , All-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
356,0,2016 Dodge Charger SXT,26998,29691, Gray , Black , All-wheel Drive ,18–27,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
357,1,2021 BMW M340 i xDrive,56990,16317, Alpine White , Black , All-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
358,2,2021 BMW X5 xDrive40i,60227,18375, Black Sapphire Metallic , Black , All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
359,3,2017 Cadillac XT5 Luxury,24900,36997, Tan , Tan , All-wheel Drive ,18–26,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
360,4,2019 Ford Expedition Limited,54755,49985, White Platinum , Ebony , Four-wheel Drive ,17–22,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo
361,5,2021 Lincoln Aviator Reserve AWD,61255,20055, Black , Luggage Tan , All-wheel Drive ,17–24,Gasoline ,10-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
362,6,2020 Land Rover Discovery SE,51842,16258, Santorini Black , Ebony / Ebony , Four-wheel Drive ,16–21,Gasoline ,Automatic,V6
363,7,2019 Volvo XC60 T5 Momentum,34999,20868, Denim Blue Metallic , Amber , All-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
364,8,2021 Tesla Model Y Long Range,71988,15407, – , – , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
365,9,2019 Hyundai Kona SEL,24651,12552, Surf Blue , Black , All-wheel Drive ,25–30,Gasoline ,6-Speed Automatic,2.0L I4 16V MPFI DOHC
366,10,2017 Mercedes-Benz C-Class C 300,30999,14021, Gray Metallic , – , All-wheel Drive ,24–31,Gasoline ,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
367,11,2019 Toyota Camry XLE,30995,12692, Silver , Gray , Front-wheel Drive ,28–39,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
368,12,2019 Mercedes-Benz C-Class C 300,34333,15505, Black , Black , Rear-wheel Drive ,23–34,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
369,13,2021 Toyota Corolla LE,28890,15380, Barcelona Red Metallic , Moonstone , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
370,14,2020 Chevrolet Traverse LS,32517,49223, Silver Ice Metallic , Jet Black , All-wheel Drive ,17–25,Gasoline ,9-Speed Automatic,3.6L V6 24V GDI DOHC
371,15,2017 INFINITI QX80 Base,35399,60628, Black , Wheat , Rear-wheel Drive ,14–20,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC
372,16,2016 Hyundai Genesis 3.8,20594,98694, Caspian Black , Gray , Rear-wheel Drive ,18–29,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
373,17,2018 Porsche Macan S,54990,25897, Night Blue Metallic , Black/Luxor Beige , All-wheel Drive ,17–23,Gasoline ,Automatic,V6 Cylinder Engine
374,18,2021 Nissan Rogue SV,33990,45376, Gun Metallic , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC
375,19,2021 Lexus ES 350 F Sport,48377,21040, Obsidian Black , Red , Front-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
376,0,2016 Hyundai Genesis 3.8,20594,98694, Caspian Black , Gray , Rear-wheel Drive ,18–29,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
377,1,2018 Porsche Macan S,54990,25897, Night Blue Metallic , Black/Luxor Beige , All-wheel Drive ,17–23,Gasoline ,Automatic,V6 Cylinder Engine
378,2,2021 Nissan Rogue SV,33990,45376, Gun Metallic , Charcoal , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L I4 16V GDI DOHC
379,3,2021 Lexus ES 350 F Sport,48377,21040, Obsidian Black , Red , Front-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
380,4,2021 Acura RDX A-Spec,45500,15341, Black , – , Front-wheel Drive ,22–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
381,5,2019 Volvo XC60 T5 Momentum,44962,32356, Onyx Black Metallic , Charcoal , Front-wheel Drive ,22–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
382,6,2019 INFINITI QX50 ESSENTIAL,34500,31617, Graphite Shadow , Graphite , Front-wheel Drive ,24–31,Gasoline ,Automatic CVT,2.0L I4 16V PDI DOHC Turbo
383,7,2021 BMW X5 xDrive40i,63995,19906, Mineral White Metallic , Cognac , All-wheel Drive ,21–25,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
384,8,2021 Subaru Ascent Limited 7-Passenger,43998,14275, Crystal White Pearl , Black , All-wheel Drive ,20–26,Gasoline ,Automatic CVT,2.4L H4 16V GDI DOHC Turbo
385,9,2021 Mercedes-Benz GLA 250 Base,40496,14741, White , – , Front-wheel Drive ,25–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
386,10,2018 Volvo V90 Cross Country T5,52962,37837, Onyx Black Metallic , Charcoal , All-wheel Drive ,23–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
387,11,2021 BMW X3 sDrive30i,44957,18167, Black Sapphire Metallic , Black , Rear-wheel Drive ,25–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
388,12,2019 Ford Edge Titanium,33642,38743, Black , – , All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
389,13,2020 Hyundai Elantra SE,18200,13118, Quartz White Pearl , Black , Front-wheel Drive ,30–40,Gasoline ,Automatic CVT,2.0L I4 16V MPFI DOHC
390,14,2019 Lexus RX 350 ,43488,17825, Nebula Gray Pearl , Brown , All-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
391,15,2019 Jeep Grand Cherokee Limited,34444,69682, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
392,16,2020 Jaguar E-PACE SE,46494,11403, Fuji White , Ebony / Ebony , All-wheel Drive ,21–28,Gasoline ,Automatic,I4
393,17,2014 Mercedes-Benz CLS-Class CLS 550 4MATIC,26499,67212, Blue Metallic , Silver , All-wheel Drive ,18–25,Gasoline ,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo
394,18,2019 Audi Q5 2.0T Premium Plus,40993,16708, Brilliant Black , Black , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
395,19,2021 Aston Martin DBX Base,167900,2216, Onyx Black , Sahara Tan , All-wheel Drive ,14–18,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
396,0,2019 Subaru Outback 2.5i Limited,28798,15519, Cinnamon Brown Pearl , Ivory , All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC
397,1,2020 Nissan Rogue SL,31429,18335, Scarlet Ember , Beige , All-wheel Drive ,None,– ,Automatic CVT,2.5L I4 16V MPFI DOHC
398,2,2018 Volvo S90 T6 Inscription,34997,52272, Bright Silver Metallic , Charcoal , All-wheel Drive ,22–31,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
399,3,2019 Volkswagen Atlas 3.6L SEL,33995,23531, Pure White , Titan Black , All-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,3.6L V6 24V GDI DOHC
400,4,2019 Jeep Grand Cherokee Altitude,43000,15588, Diamond Black , Black , Rear-wheel Drive ,19–26,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
401,5,2021 Tesla Model Y Long Range,69484,18928, Pearl White Multi , Black , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
402,6,2020 Chevrolet Tahoe LT,43720,60507, Silver Ice Metallic , Jet Black , Rear-wheel Drive ,15–22,Gasoline ,6-Speed Automatic,5.3L V8 16V GDI OHV
403,7,2020 Lexus ES 350 Base,43489,16295, Eminent White Pearl , Flaxen , Front-wheel Drive ,22–32,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
404,8,2021 Tesla Model Y Long Range,70995,11646, Red Multi , – , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
405,9,2018 BMW X2 sDrive28i,32902,23175, Black Sapphire Metallic , – , Front-wheel Drive ,23–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
406,10,2022 Kia Telluride SX,64950,156, Glacial White Pearl , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
407,11,2020 Jeep Grand Cherokee Limited,47998,16302, Burgundy , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,5.7L V8 16V MPFI OHV
408,12,2019 Honda CR-V EX,32580,15209, Molten Lava Pearl , Ivory , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
409,13,2019 Honda CR-V EX-L,35081,20191, Modern Steel Metallic , Black , Front-wheel Drive ,28–34,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
410,14,2015 Toyota Tacoma ,29927,132530, Black , Graphite , Four-wheel Drive ,16–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
411,15,2021 Mazda CX-5 Grand Touring,33416,14627, Machine Gray Metallic , Black , All-wheel Drive ,24–30,Gasoline ,Automatic,Regular Unleaded I-4 2.5 L/152
412,16,2016 Chevrolet Corvette Stingray Z51,58500,14163, Shark Gray Metallic , Jet Black , Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV
413,17,2021 Lexus RX 350 Base,51981,12461, Nebula Gray Pearl , Parchment , Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
414,18,2019 BMW 540 i xDrive,49000,28410, Black Sapphire Metallic , Cognac , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
415,19,2021 Toyota RAV4 Hybrid LE,37995,15966, Magnetic Gray Metallic , Black , All-wheel Drive ,41–38,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid
416,0,2015 Toyota Tacoma ,29927,132530, Black , Graphite , Four-wheel Drive ,16–21,Gasoline ,5-Speed Automatic,4.0L V6 24V MPFI DOHC
417,1,2021 Mazda CX-5 Grand Touring,33416,14627, Machine Gray Metallic , Black , All-wheel Drive ,24–30,Gasoline ,Automatic,Regular Unleaded I-4 2.5 L/152
418,2,2016 Chevrolet Corvette Stingray Z51,58500,14163, Shark Gray Metallic , Jet Black , Rear-wheel Drive ,17–29,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV
419,3,2021 Lexus RX 350 Base,51981,12461, Nebula Gray Pearl , Parchment , Front-wheel Drive ,20–27,Gasoline ,8-Speed Automatic,3.5L V6 24V PDI DOHC
420,4,2019 BMW 540 i xDrive,49000,28410, Black Sapphire Metallic , Cognac , All-wheel Drive ,21–29,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
421,5,2021 Toyota RAV4 Hybrid LE,37995,15966, Magnetic Gray Metallic , Black , All-wheel Drive ,41–38,Hybrid ,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid
422,6,2021 BMW X3 xDrive30i,42238,16466, Dark Graphite Metallic , Canberra Beige , All-wheel Drive ,23–29,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
423,7,2021 Toyota Camry XSE,41998,12129, White , Red , Front-wheel Drive ,27–38,Gasoline ,8-Speed Automatic,2.5L I4 16V PDI DOHC
424,8,2019 Land Rover Range Rover Velar P250 S,45999,39542, Fuji White , Ebony / Ebony , Four-wheel Drive ,21–27,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
425,9,2018 Jeep Grand Cherokee Limited,33500,22189, Billet Silver Metallic Clearcoat , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
426,10,2017 Audi S3 2.0T Premium Plus,31699,81038, Brilliant Black , Black , All-wheel Drive ,21–28,Gasoline ,6-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
427,11,2020 Kia Sportage LX,23999,23154, Steel Gray , Black , Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.4L I4 16V GDI DOHC
428,12,2019 Ford Mustang GT Premium,40991,18160, Shadow Black , – , Rear-wheel Drive ,15–24,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC
429,13,2019 BMW M5 Competition,64950,74883, Gray , Silverstone , All-wheel Drive ,15–21,Gasoline ,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo
430,14,2019 Ford Fusion Energi Titanium,30000,15743, Agate Black , Ebony , Front-wheel Drive ,None,Hybrid ,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid
431,15,2018 Toyota RAV4 LE,17990,22035, Black , Gray , Front-wheel Drive ,23–30,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
432,16,2019 BMW X5 xDrive40i,58442,17524, Phytonic Blue Metallic , Ivory White , All-wheel Drive ,20–26,Gasoline ,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo
433,17,2021 Alfa Romeo Stelvio Ti Sport,46632,18910, Alfa White , Black / Red , All-wheel Drive ,22–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI SOHC Turbo
434,18,2021 Acura RDX A-Spec,44684,15490, Modern Steel Metallic , Red , Front-wheel Drive ,22–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
435,19,2020 Lamborghini Urus Base,249000,22293, Bianco Monocerus , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
436,0,2021 Acura RDX A-Spec,44684,15490, Modern Steel Metallic , Red , Front-wheel Drive ,22–27,Gasoline ,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
437,1,2020 Lamborghini Urus Base,249000,22293, Bianco Monocerus , Nero Ade , All-wheel Drive ,12–17,Gasoline ,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
438,2,2015 Chevrolet Silverado 2500 LT,39000,64048, Tungsten Metallic , Black , Four-wheel Drive ,None,Gasoline ,6-Speed Automatic,VORTEC
439,3,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,70900,33126, Polar White , Saddle Brown / Black , All-wheel Drive ,17–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
440,4,2019 Dodge Grand Caravan R/T,24890,75688, Billet Clearcoat , Black , Front-wheel Drive ,17–25,Gasoline ,Automatic,Regular Unleaded V-6 3.6 L/220
441,5,2017 Honda Accord EX-L,26998,43997, Blue , Gray , Front-wheel Drive ,21–33,Gasoline ,6-Speed Automatic,3.5L V6 24V MPFI SOHC
442,6,2019 Honda CR-V EX-L,32405,20859, Crystal Black Pearl , Black , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
443,7,2019 Volvo S60 T6 R-Design,40550,16777, Black Stone , Charcoal , All-wheel Drive ,21–32,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC
444,8,2017 Honda CR-V Touring,31996,11188, White Diamond Pearl , – , All-wheel Drive ,27–33,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
445,9,2012 Volvo XC60 T6,14900,136075, GRAY , TAN , All-wheel Drive ,19–25,Gasoline ,Automatic,Straight 6 Cylinder Engine
446,10,2019 Lexus IS 300 IS 300 F SPORT,38998,17150, Obsidian Black , Red , Rear-wheel Drive ,21–30,Gasoline ,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo
447,11,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,67399,36346, Obsidian Black Metallic , – , All-wheel Drive ,17–22,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
448,12,2020 Jeep Grand Cherokee Limited,39890,17793, Granite Crystal Clearcoat Metallic , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
449,13,2018 Toyota RAV4 Limited,32727,19379, Black Currant Metallic , Black , Front-wheel Drive ,23–29,Gasoline ,6-Speed Automatic,2.5L I4 16V MPFI DOHC
450,14,2019 Jeep Grand Cherokee Limited,39591,37637, Diamond Black , Black , Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC
451,15,2019 Audi Q5 2.0T Premium,39950,16739, Manhattan Gray Metallic , Rock Gray / Granite Gray , All-wheel Drive ,22–27,Gasoline ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
452,16,2021 Tesla Model Y Long Range,69994,11499, White , – , All-wheel Drive ,131–117,Electric ,1-Speed Automatic,Electric
